pp	condition	speed	wheelangle	yposition	deviation	accel	break	xposition	block	condtime	time
C2D23	prac_none_none	0.0	0.0	-2.506	-0.006	0.0	0.0	1.0	0	0.0	52.963
C2D23	prac_none_none	84.165	0.0	-2.494	0.006	0.0	0.0	-2.828	0	0.162	53.125
C2D23	prac_none_none	84.059	0.0	-2.493	0.007	0.0	0.0	-3.319	0	0.183	53.146
C2D23	prac_none_none	83.951	0.0	-2.492	0.008	0.0	0.0	-3.816	0	0.204	53.167
C2D23	prac_none_none	83.867	0.0	-2.491	0.009	0.0	0.0	-4.206	0	0.221	53.184
C2D23	prac_none_none	83.781	0.0	-2.491	0.009	0.0	0.0	-4.605	0	0.238	53.201
C2D23	prac_none_none	83.675	0.0	-2.491	0.009	0.0	0.0	-5.094	0	0.259	53.222
C2D23	prac_none_none	83.606	0.0	-2.49	0.01	0.0	0.0	-5.412	0	0.272	53.236
C2D23	prac_none_none	83.506	0.0	-2.49	0.01	0.0	0.0	-5.875	0	0.293	53.256
C2D23	prac_none_none	83.436	0.0	-2.49	0.01	0.0	0.0	-6.196	0	0.306	53.27
C2D23	prac_none_none	83.364	0.0	-2.49	0.01	0.0	0.0	-6.531	0	0.321	53.284
C2D23	prac_none_none	83.279	0.0	-2.49	0.01	0.0	0.0	-6.923	0	0.338	53.301
C2D23	prac_none_none	83.181	0.0	-2.49	0.01	0.0	0.0	-7.378	0	0.357	53.321
C2D23	prac_none_none	83.101	0.0	-2.49	0.01	0.0	0.0	-7.747	0	0.374	53.337
C2D23	prac_none_none	83.028	0.0	-2.49	0.01	0.0	0.0	-8.084	0	0.388	53.351
C2D23	prac_none_none	82.924	0.0	-2.49	0.01	0.0	0.0	-8.568	0	0.409	53.373
C2D23	prac_none_none	82.846	0.0	-2.49	0.01	0.0	0.0	-8.928	0	0.425	53.388
C2D23	prac_none_none	82.765	0.0	-2.49	0.01	0.0	0.0	-9.301	0	0.441	53.404
C2D23	prac_none_none	82.698	0.0	-2.49	0.01	0.0	0.0	-9.61	0	0.455	53.418
C2D23	prac_none_none	82.606	0.0	-2.49	0.01	0.0	0.0	-10.035	0	0.473	53.436
