pp	condition	id	speed	xposition	distance	block	condtime	time
C2D23	prac_none_none	12	100.0	10.275	11.275	0	0.0	52.964
C2D23	prac_none_none	12	100.0	14.507	11.679	0	0.162	53.125
C2D23	prac_none_none	12	100.0	15.051	11.732	0	0.183	53.146
C2D23	prac_none_none	12	100.0	15.602	11.786	0	0.204	53.167
C2D23	prac_none_none	12	100.0	16.035	11.829	0	0.221	53.184
C2D23	prac_none_none	12	100.0	16.478	11.873	0	0.238	53.201
C2D23	prac_none_none	12	100.0	17.021	11.928	0	0.259	53.222
C2D23	prac_none_none	12	100.0	17.376	11.964	0	0.272	53.236
C2D23	prac_none_none	12	100.0	17.892	12.017	0	0.293	53.256
C2D23	prac_none_none	12	100.0	18.25	12.054	0	0.306	53.27
C2D23	prac_none_none	12	100.0	18.624	12.093	0	0.321	53.284
C2D23	prac_none_none	12	100.0	19.062	12.139	0	0.338	53.301
C2D23	prac_none_none	12	100.0	19.572	12.193	0	0.357	53.321
C2D23	prac_none_none	12	100.0	19.985	12.237	0	0.374	53.337
C2D23	prac_none_none	12	100.0	20.363	12.278	0	0.388	53.351
C2D23	prac_none_none	12	100.0	20.906	12.337	0	0.409	53.373
C2D23	prac_none_none	12	100.0	21.31	12.382	0	0.425	53.388
C2D23	prac_none_none	12	100.0	21.729	12.428	0	0.441	53.404
C2D23	prac_none_none	12	100.0	22.077	12.467	0	0.455	53.418
C2D23	prac_none_none	12	100.0	22.556	12.521	0	0.473	53.436
C2D23	prac_none_none	12	100.0	23.084	12.581	0	0.493	53.457
C2D23	prac_none_none	12	100.0	23.625	12.643	0	0.515	53.478
C2D23	prac_none_none	12	100.0	24.259	12.716	0	0.539	53.502
C2D23	prac_none_none	12	100.0	24.854	12.786	0	0.562	53.525
C2D23	prac_none_none	12	100.0	25.182	12.825	0	0.574	53.538
C2D23	prac_none_none	12	100.0	25.547	12.868	0	0.589	53.552
C2D23	prac_none_none	12	100.0	25.956	12.917	0	0.604	53.568
C2D23	prac_none_none	12	100.0	26.494	12.981	0	0.625	53.589
C2D23	prac_none_none	12	100.0	26.811	13.02	0	0.637	53.601
C2D23	prac_none_none	12	100.0	27.258	13.074	0	0.655	53.618
C2D23	prac_none_none	12	100.0	27.666	13.125	0	0.67	53.634
C2D23	prac_none_none	12	100.0	28.133	13.182	0	0.689	53.652
C2D23	prac_none_none	12	100.0	28.666	13.249	0	0.709	53.673
C2D23	prac_none_none	12	100.0	29.029	13.295	0	0.723	53.687
C2D23	prac_none_none	12	100.0	29.405	13.342	0	0.738	53.701
C2D23	prac_none_none	12	100.0	29.936	13.41	0	0.758	53.722
C2D23	prac_none_none	12	100.0	30.379	13.467	0	0.776	53.739
C2D23	prac_none_none	12	100.0	30.747	13.514	0	0.79	53.753
C2D23	prac_none_none	12	100.0	31.125	13.563	0	0.804	53.768
C2D23	prac_none_none	12	100.0	31.644	13.631	0	0.824	53.788
C2D23	prac_none_none	12	100.0	31.993	13.677	0	0.838	53.801
C2D23	prac_none_none	12	100.0	32.426	13.735	0	0.855	53.818
C2D23	prac_none_none	12	100.0	32.902	13.798	0	0.873	53.837
C2D23	prac_none_none	12	100.0	33.282	13.849	0	0.888	53.851
C2D23	prac_none_none	12	100.0	33.78	13.917	0	0.907	53.87
C2D23	prac_none_none	12	100.0	34.155	13.967	0	0.921	53.885
C2D23	prac_none_none	12	100.0	34.662	14.037	0	0.941	53.905
C2D23	prac_none_none	12	100.0	35.027	14.087	0	0.955	53.919
C2D23	prac_none_none	12	100.0	35.44	14.144	0	0.971	53.935
C2D23	prac_none_none	12	100.0	36.015	14.225	0	0.993	53.957
C2D23	prac_none_none	12	100.0	36.357	14.273	0	1.007	53.97
C2D23	prac_none_none	12	100.0	36.774	14.332	0	1.023	53.987
C2D23	prac_none_none	12	100.0	37.152	14.385	0	1.037	54.001
C2D23	prac_none_none	12	100.0	37.742	14.47	0	1.061	54.024
C2D23	prac_none_none	12	100.0	38.169	14.531	0	1.077	54.04
C2D23	prac_none_none	12	100.0	38.462	14.574	0	1.088	54.052
C2D23	prac_none_none	12	100.0	39.645	14.748	0	1.134	54.098
C2D23	prac_none_none	12	100.0	40.247	14.837	0	1.157	54.121
C2D23	prac_none_none	12	100.0	40.627	14.893	0	1.172	54.136
C2D23	prac_none_none	12	100.0	41.345	15.001	0	1.2	54.164
C2D23	prac_none_none	12	100.0	41.995	15.1	0	1.225	54.188
C2D23	prac_none_none	12	100.0	42.738	15.214	0	1.255	54.218
C2D23	prac_none_none	12	100.0	43.552	15.339	0	1.285	54.249
C2D23	prac_none_none	12	100.0	44.27	15.451	0	1.313	54.276
C2D23	prac_none_none	12	100.0	44.753	15.527	0	1.332	54.295
C2D23	prac_none_none	12	100.0	45.641	15.664	0	1.366	54.33
C2D23	prac_none_none	12	100.0	46.241	15.756	0	1.389	54.352
C2D23	prac_none_none	12	100.0	46.838	15.847	0	1.412	54.376
C2D23	prac_none_none	12	100.0	47.447	15.938	0	1.436	54.399
C2D23	prac_none_none	12	100.0	47.975	16.017	0	1.456	54.42
C2D23	prac_none_none	12	100.0	48.573	16.105	0	1.479	54.443
C2D23	prac_none_none	12	100.0	48.866	16.149	0	1.491	54.454
C2D23	prac_none_none	12	100.0	49.464	16.236	0	1.514	54.477
C2D23	prac_none_none	12	100.0	50.148	16.335	0	1.54	54.504
C2D23	prac_none_none	12	100.0	50.646	16.406	0	1.559	54.523
C2D23	prac_none_none	12	100.0	51.233	16.489	0	1.582	54.546
C2D23	prac_none_none	12	100.0	51.811	16.571	0	1.605	54.568
C2D23	prac_none_none	12	100.0	52.276	16.636	0	1.623	54.586
C2D23	prac_none_none	12	100.0	52.701	16.695	0	1.639	54.602
C2D23	prac_none_none	12	100.0	53.122	16.753	0	1.655	54.619
C2D23	prac_none_none	12	100.0	53.76	16.84	0	1.68	54.643
C2D23	prac_none_none	12	100.0	54.318	16.915	0	1.701	54.665
C2D23	prac_none_none	12	100.0	54.932	16.998	0	1.725	54.689
C2D23	prac_none_none	12	100.0	55.319	17.049	0	1.74	54.704
C2D23	prac_none_none	12	100.0	55.898	17.125	0	1.763	54.726
C2D23	prac_none_none	12	100.0	56.583	17.215	0	1.789	54.752
C2D23	prac_none_none	12	100.0	57.036	17.273	0	1.807	54.77
C2D23	prac_none_none	12	100.0	57.468	17.329	0	1.823	54.787
C2D23	prac_none_none	12	100.0	61.097	17.755	0	1.964	54.927
C2D23	prac_none_none	12	100.0	61.967	17.858	0	1.999	54.963
C2D23	prac_none_none	12	100.0	63.089	17.988	0	2.041	55.004
C2D23	prac_none_none	12	100.0	63.608	18.047	0	2.061	55.024
C2D23	prac_none_none	12	100.0	63.979	18.09	0	2.075	55.039
