pp	condition	speed	wheelangle	yposition	deviation	accel	break	xposition	block	condtime	time
C2D23	simple_none	0.0	0.0	-2.503	-0.003	0.0	0.0	1.0	2	-1437662100.83	18.493
C2D23	simple_none	84.223	0.0	-2.503	-0.003	0.0	0.0	-2.564	2	-1437662100.68	18.644
C2D23	simple_none	84.102	0.0	-2.503	-0.003	0.0	0.0	-3.123	2	-1437662100.66	18.668
C2D23	simple_none	84.015	0.0	-2.504	-0.004	0.0	0.0	-3.527	2	-1437662100.64	18.686
C2D23	simple_none	83.94	0.0	-2.504	-0.004	0.0	0.0	-3.873	2	-1437662100.62	18.7
C2D23	simple_none	83.857	0.0	-2.505	-0.005	0.0	0.0	-4.258	2	-1437662100.61	18.717
C2D23	simple_none	83.775	0.0	-2.506	-0.006	0.0	0.0	-4.635	2	-1437662100.59	18.733
C2D23	simple_none	83.686	0.0	-2.507	-0.007	0.0	0.0	-5.047	2	-1437662100.57	18.751
C2D23	simple_none	83.605	0.0	-2.508	-0.008	0.0	0.0	-5.421	2	-1437662100.56	18.767
C2D23	simple_none	83.521	0.0	-2.509	-0.009	0.0	0.0	-5.812	2	-1437662100.54	18.784
C2D23	simple_none	83.433	0.0	-2.51	-0.01	0.0	0.0	-6.218	2	-1437662100.52	18.801
C2D23	simple_none	83.347	0.0	-2.511	-0.011	0.0	0.0	-6.613	2	-1437662100.51	18.818
C2D23	simple_none	83.255	0.0	-2.512	-0.012	0.0	0.0	-7.038	2	-1437662100.49	18.837
C2D23	simple_none	83.187	0.0	-2.513	-0.013	0.0	0.0	-7.354	2	-1437662100.47	18.851
C2D23	simple_none	83.101	0.0	-2.514	-0.014	0.0	0.0	-7.754	2	-1437662100.46	18.868
C2D23	simple_none	83.018	0.0	-2.516	-0.016	0.0	0.0	-8.137	2	-1437662100.44	18.884
C2D23	simple_none	82.919	0.0	-2.517	-0.017	0.0	0.0	-8.592	2	-1437662100.42	18.904
C2D23	simple_none	82.856	0.0	-2.518	-0.018	0.0	0.0	-8.885	2	-1437662100.41	18.917
C2D23	simple_none	82.769	0.0	-2.519	-0.019	0.0	0.0	-9.287	2	-1437662100.39	18.934
